Selected algorithm = INCREMENTAL_VALUE_ITERATION
Selected reward strategy = ONCEANDFORALL
Selected environment = Interlocking
Load classical B Machine
Load success
Exploration strategy = RECURSIVE
Start exploration

End of exploration 100226 | Exploration time: 139.359571365 seconds
Start learning (Incremental Value Iteration)
Iteration: 1 | delta: 5000.0
Iteration: 2 | delta: 5000.0
Iteration: 3 | delta: 5000.0
Iteration: 4 | delta: 5000.0
Iteration: 5 | delta: 5000.0
Iteration: 6 | delta: 5000.0
Iteration: 7 | delta: 5000.0
Iteration: 8 | delta: 5000.0
Iteration: 9 | delta: 5000.0
Iteration: 10 | delta: 1.9
Iteration: 11 | delta: 5000.0
Iteration: 12 | delta: 5000.0
Iteration: 13 | delta: 5000.0
Iteration: 14 | delta: 5000.0
Iteration: 15 | delta: 5000.0
Iteration: 16 | delta: 5000.0
Iteration: 17 | delta: 5000.0
Iteration: 18 | delta: 5000.0
Iteration: 19 | delta: 5000.0
Iteration: 20 | delta: 5000.0
Iteration: 21 | delta: 5000.0
Iteration: 22 | delta: 5000.0
Iteration: 23 | delta: 5000.0
Iteration: 24 | delta: 5000.0
Iteration: 25 | delta: 5000.0
Iteration: 26 | delta: 5000.0
Iteration: 27 | delta: 5000.0
Iteration: 28 | delta: 5000.0
Iteration: 29 | delta: 5000.0
Iteration: 30 | delta: 5000.0
Iteration: 31 | delta: 5000.0
Iteration: 32 | delta: 5000.0
Iteration: 33 | delta: 5000.0
Iteration: 34 | delta: 5000.0
Iteration: 35 | delta: 5000.0
Iteration: 36 | delta: 1.9
Iteration: 37 | delta: 5000.0
Iteration: 38 | delta: 5000.0
Iteration: 39 | delta: 5000.0
Iteration: 40 | delta: 5000.0
Iteration: 41 | delta: 5000.0
Iteration: 42 | delta: 5000.0
Iteration: 43 | delta: 5000.0
Iteration: 44 | delta: 5000.0
Iteration: 45 | delta: 5000.0
Iteration: 46 | delta: 5000.0
Iteration: 47 | delta: 4499.0
Iteration: 48 | delta: 5000.0
Iteration: 49 | delta: 5000.0
Iteration: 50 | delta: 5000.0
Iteration: 51 | delta: 5000.0
Iteration: 52 | delta: 5000.0
Iteration: 53 | delta: 5000.0
Iteration: 54 | delta: 5000.0
Iteration: 55 | delta: 1.9
Iteration: 56 | delta: 5000.0
Iteration: 57 | delta: 5000.0
Iteration: 58 | delta: 5000.0
Iteration: 59 | delta: 5000.0
Iteration: 60 | delta: 5000.0
Iteration: 61 | delta: 2.71
Iteration: 62 | delta: 1.9
Iteration: 63 | delta: 5000.0
Iteration: 64 | delta: 5000.0
Iteration: 65 | delta: 5000.0
Iteration: 66 | delta: 5000.0
Iteration: 67 | delta: 5000.0
Iteration: 68 | delta: 5000.0
Iteration: 69 | delta: 5000.0
Iteration: 70 | delta: 5000.0
Iteration: 71 | delta: 5000.0
Iteration: 72 | delta: 5000.0
Iteration: 73 | delta: 5000.0
Iteration: 74 | delta: 5000.0
Iteration: 75 | delta: 5000.0
Iteration: 76 | delta: 5000.0
Iteration: 77 | delta: 5000.0
Iteration: 78 | delta: 5000.0
Iteration: 79 | delta: 5000.0
Iteration: 80 | delta: 5000.0
Iteration: 81 | delta: 2.71
Iteration: 82 | delta: 5000.0
Iteration: 83 | delta: 3.439
Iteration: 84 | delta: 5000.0
Iteration: 85 | delta: 4500.0
Iteration: 86 | delta: 5000.0
Iteration: 87 | delta: 5000.0
Iteration: 88 | delta: 5000.0
Iteration: 89 | delta: 5000.0
Iteration: 90 | delta: 5000.0
Iteration: 91 | delta: 5000.0
Iteration: 92 | delta: 5000.0
Iteration: 93 | delta: 5000.0
Iteration: 94 | delta: 5000.0
Iteration: 95 | delta: 5000.0
Iteration: 96 | delta: 5000.0
Iteration: 97 | delta: 5000.0
Iteration: 98 | delta: 5000.0
Iteration: 99 | delta: 5000.0
Iteration: 100 | delta: 5000.0
Reached maximum number of iterations.
Execution time (Incremental VI): 130.788825949 seconds
Nb states discovered (env): 100226
Interactive play is only supported for TicTacToe. Skipping step-by-step display.
